match,match_ID,teamInnings,battingPos,batsmanName,Out/Not Out,runs,balls,4s,6s,SR
Pakistan VS New Zealand,Test # 2487,Innings 1,1,Tom Latham ,Out,71,100,9,0,71.00
Pakistan VS New Zealand,Test # 2487,Innings 1,2,Devon Conway ,Out,122,191,16,1,63.87
Pakistan VS New Zealand,Test # 2487,Innings 1,3,Kane Williamson ,Out,36,91,5,0,39.56
Pakistan VS New Zealand,Test # 2487,Innings 1,4,Henry Nicholls ,Out,26,56,3,0,46.42
Pakistan VS New Zealand,Test # 2487,Innings 1,5,Daryl Mitchell ,Out,3,14,0,0,21.42
Pakistan VS New Zealand,Test # 2487,Innings 1,6,Tom Blundell †,Out,51,108,6,0,47.22
Pakistan VS New Zealand,Test # 2487,Innings 1,7,Michael Bracewell ,Out,0,2,0,0,0.00
Pakistan VS New Zealand,Test # 2487,Innings 1,8,Ish Sodhi ,Out,11,33,2,0,33.33
Pakistan VS New Zealand,Test # 2487,Innings 1,9,Tim Southee (c),Out,10,37,1,0,27.02
Pakistan VS New Zealand,Test # 2487,Innings 1,10,Matt Henry ,Not Out,68,81,8,2,83.95
Pakistan VS New Zealand,Test # 2487,Innings 1,11,Ajaz Patel ,Out,35,78,4,0,44.87
Pakistan VS New Zealand,Test # 2487,Innings 2,1,Abdullah Shafique ,Out,19,32,4,0,59.37
Pakistan VS New Zealand,Test # 2487,Innings 2,2,Imam-ul-Haq ,Out,83,165,10,1,50.30
Pakistan VS New Zealand,Test # 2487,Innings 2,3,Shan Masood ,Out,20,11,4,0,181.81
Pakistan VS New Zealand,Test # 2487,Innings 2,4,Babar Azam (c),Out,24,41,3,1,58.53
Pakistan VS New Zealand,Test # 2487,Innings 2,5,Saud Shakeel ,Not Out,125,341,17,0,36.65
Pakistan VS New Zealand,Test # 2487,Innings 2,6,Sarfaraz Ahmed †,Out,78,109,10,0,71.55
Pakistan VS New Zealand,Test # 2487,Innings 2,7,Agha Salman ,Out,41,78,7,0,52.56
Pakistan VS New Zealand,Test # 2487,Innings 2,8,Hasan Ali ,Out,4,5,1,0,80.00
Pakistan VS New Zealand,Test # 2487,Innings 2,9,Naseem Shah ,Out,4,8,1,0,50.00
Pakistan VS New Zealand,Test # 2487,Innings 2,10,Mir Hamza ,Out,0,1,0,0,0.00
Pakistan VS New Zealand,Test # 2487,Innings 2,11,Abrar Ahmed ,Out,0,10,0,0,0.00
Australia VS South Africa,Test # 2488,Innings 1,1,Usman Khawaja ,Not Out,195,368,19,1,52.98
