match,match_ID,teamInnings,team,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
Pakistan VS New Zealand,Test # 2487,Innings 1,Pakistan,Mir Hamza,21.0,3,72,0,3.42,89,9,0,0,2
Pakistan VS New Zealand,Test # 2487,Innings 1,Pakistan,Naseem Shah,24.0,7,71,3,2.95,110,8,1,0,0
Pakistan VS New Zealand,Test # 2487,Innings 1,Pakistan,Hasan Ali,23.0,4,72,0,3.13,108,9,1,1,3
Pakistan VS New Zealand,Test # 2487,Innings 1,Pakistan,Abrar Ahmed,37.0,5,149,4,4.02,151,20,1,0,0
Pakistan VS New Zealand,Test # 2487,Innings 1,Pakistan,Agha Salman,26.0,3,75,3,2.88,109,8,0,0,0
Pakistan VS New Zealand,Test # 2487,Innings 2,New Zealand,Tim Southee,25.0,7,62,1,2.48,121,10,0,0,0
Pakistan VS New Zealand,Test # 2487,Innings 2,New Zealand,Matt Henry,28.0,9,58,1,2.07,134,5,0,0,1
Pakistan VS New Zealand,Test # 2487,Innings 2,New Zealand,Ajaz Patel,17.0,2,88,3,5.17,70,16,1,0,0
Pakistan VS New Zealand,Test # 2487,Innings 2,New Zealand,Michael Bracewell,26.0,3,87,0,3.34,114,12,1,0,0
Pakistan VS New Zealand,Test # 2487,Innings 2,New Zealand,Ish Sodhi,27.0,3,95,3,3.51,108,12,0,0,2
Pakistan VS New Zealand,Test # 2487,Innings 2,New Zealand,Daryl Mitchell,10.0,6,11,1,1.1,56,2,0,0,0
Australia VS South Africa,Test # 2488,Innings 1,South Africa,Kagiso Rabada,28.0,3,119,1,4.25,121,19,0,0,4
Australia VS South Africa,Test # 2488,Innings 1,South Africa,Anrich Nortje,22.0,5,55,2,2.5,106,7,0,0,2
Australia VS South Africa,Test # 2488,Innings 1,South Africa,Marco Jansen,25.0,4,79,0,3.16,112,10,0,1,0
Australia VS South Africa,Test # 2488,Innings 1,South Africa,Keshav Maharaj,25.0,1,108,1,4.32,89,9,2,0,0
Australia VS South Africa,Test # 2488,Innings 1,South Africa,Simon Harmer,31.0,3,109,0,3.51,127,9,2,0,0
Australia VS South Africa,Test # 2488,Innings 2,Australia,Josh Hazlewood,23.0,7,48,4,2.08,114,6,0,0,2
Australia VS South Africa,Test # 2488,Innings 2,Australia,Pat Cummins,23.0,7,60,3,2.6,109,7,0,0,2
Australia VS South Africa,Test # 2488,Innings 2,Australia,Nathan Lyon,40.0,16,88,2,2.2,200,6,4,0,0
Australia VS South Africa,Test # 2488,Innings 2,Australia,Ashton Agar,14.0,3,30,0,2.14,63,1,0,0,1
Australia VS South Africa,Test # 2488,Innings 2,Australia,Travis Head,7.0,1,21,1,3.0,29,0,1,0,0
Australia VS South Africa,Test # 2488,Innings 2,Australia,Steven Smith,1.0,1,0,0,0.0,6,0,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 1,Zimbabwe,Richard Ngarava,20.0,4,69,0,3.45,90,10,0,0,1
Zimbabwe VS West Indies,Test # 2489,Innings 1,Zimbabwe,Victor Nyauchi,27.0,6,73,0,2.7,126,8,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 1,Zimbabwe,Brad Evans,24.0,3,74,0,3.08,100,5,0,1,2
Zimbabwe VS West Indies,Test # 2489,Innings 1,Zimbabwe,Wellington Masakadza,31.0,8,85,1,2.74,137,3,4,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 1,Zimbabwe,Brandon Mavuta,41.0,5,140,5,3.41,161,11,2,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Kemar Roach,15.0,4,35,1,2.33,74,4,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Alzarri Joseph,26.0,2,75,3,2.88,116,9,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Kyle Mayers,10.0,4,22,0,2.2,50,3,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Gudakesh Motie,33.0,10,110,2,3.33,149,13,3,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Jason Holder,17.0,2,55,2,3.23,75,6,0,0,1
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Roston Chase,14.0,1,45,0,3.21,60,5,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Kraigg Brathwaite,5.0,1,12,1,2.4,22,1,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Raymon Reifer,3.0,0,7,0,2.33,13,0,0,0,0
Zimbabwe VS West Indies,Test # 2489,Innings 2,West Indies,Jermaine Blackwood,2.0,0,11,0,5.5,7,2,0,0,0
India VS Australia,Test # 2490,Innings 1,India,Mohammed Shami,9.0,4,18,1,2.0,46,3,0,0,0
India VS Australia,Test # 2490,Innings 1,India,Mohammed Siraj,7.0,3,30,1,4.28,33,7,0,0,0
India VS Australia,Test # 2490,Innings 1,India,Ravindra Jadeja,22.0,8,47,5,2.13,113,7,0,0,3
India VS Australia,Test # 2490,Innings 1,India,Axar Patel,10.0,3,28,0,2.8,50,6,0,0,0
India VS Australia,Test # 2490,Innings 1,India,Ravichandran Ashwin,15.5,2,42,3,2.65,70,4,0,0,0
India VS Australia,Test # 2490,Innings 2,Australia,Pat Cummins,20.3,3,78,2,3.8,88,11,1,0,1
India VS Australia,Test # 2490,Innings 2,Australia,Scott Boland,17.0,4,34,0,2.0,81,3,0,0,1
India VS Australia,Test # 2490,Innings 2,Australia,Nathan Lyon,49.0,13,126,1,2.57,227,13,2,0,0
India VS Australia,Test # 2490,Innings 2,Australia,Todd Murphy,47.0,12,124,7,2.63,223,13,4,0,1
India VS Australia,Test # 2490,Innings 2,Australia,Marnus Labuschagne,5.0,0,24,0,4.8,16,3,0,0,0
India VS Australia,Test # 2490,Innings 2,Australia,Matt Renshaw,1.0,0,7,0,7.0,2,1,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,West Indies,Alzarri Joseph,9.0,1,29,1,3.22,40,4,0,1,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,West Indies,Shannon Gabriel,8.0,2,19,0,2.37,38,2,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,West Indies,Jason Holder,7.0,2,18,2,2.57,34,3,0,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,West Indies,Gudakesh Motie,14.5,4,37,7,2.49,71,4,1,0,0
Zimbabwe VS West Indies,Test # 2491,Innings 1,West Indies,Roston Chase,2.0,0,4,0,2.0,9,0,0,0,0
