match,winer,margin,ground,match_date,match_ID
Pakistan VS New Zealand,drawn,-,Karachi,"Jan 2-6, 2023",Test # 2487
Australia VS South Africa,drawn,-,Sydney,"Jan 4-8, 2023",Test # 2488
Zimbabwe VS West Indies,drawn,-,Bulawayo,"Feb 4-8, 2023",Test # 2489
India VS Australia,India,inns & 132 runs,Nagpur,"Feb 9-11, 2023",Test # 2490
Zimbabwe VS West Indies,West Indies,inns & 4 runs,Bulawayo,"Feb 12-14, 2023",Test # 2491
New Zealand VS England,England,267 runs,Mount Maunganui,"Feb 16-19, 2023",Test # 2492
India VS Australia,India,6 wickets,Delhi,"Feb 17-19, 2023",Test # 2493
New Zealand VS England,New Zealand,1 run,Wellington,"Feb 24-28, 2023",Test # 2494
South Africa VS West Indies,South Africa,87 runs,Centurion,"Feb 28-Mar 2, 2023",Test # 2495
India VS Australia,Australia,9 wickets,Indore,"Mar 1-3, 2023",Test # 2496
South Africa VS West Indies,South Africa,284 runs,Johannesburg,"Mar 8-11, 2023",Test # 2497
New Zealand VS Sri Lanka,New Zealand,2 wickets,Christchurch,"Mar 9-13, 2023",Test # 2498
India VS Australia,drawn,-,Ahmedabad,"Mar 9-13, 2023",Test # 2499
New Zealand VS Sri Lanka,New Zealand,inns & 58 runs,Wellington,"Mar 17-20, 2023",Test # 2500
Bangladesh VS Ireland,Bangladesh,7 wickets,Mirpur,"Apr 4-7, 2023",Test # 2501
Sri Lanka VS Ireland,Sri Lanka,inns & 280 runs,Galle,"Apr 16-18, 2023",Test # 2502
Sri Lanka VS Ireland,Sri Lanka,inns & 10 runs,Galle,"Apr 24-28, 2023",Test # 2503
England VS Ireland,England,10 wickets,Lord's,"Jun 1-3, 2023",Test # 2504
Australia VS India,Australia,209 runs,The Oval,"Jun 7-11, 2023",Test # 2505
Bangladesh VS Afghanistan,Bangladesh,546 runs,Mirpur,"Jun 14-17, 2023",Test # 2506
England VS Australia,Australia,2 wickets,Birmingham,"Jun 16-20, 2023",Test # 2507
