match,winer,margin,ground,match_ID,start_date
Pakistan VS New Zealand,drawn,-,Karachi,Test # 2487,2023-01-02
Australia VS South Africa,drawn,-,Sydney,Test # 2488,2023-01-04
Zimbabwe VS West Indies,drawn,-,Bulawayo,Test # 2489,2023-02-04
India VS Australia,India,inns & 132 runs,Nagpur,Test # 2490,2023-02-09
Zimbabwe VS West Indies,West Indies,inns & 4 runs,Bulawayo,Test # 2491,2023-02-12
New Zealand VS England,England,267 runs,Mount Maunganui,Test # 2492,2023-02-16
India VS Australia,India,6 wickets,Delhi,Test # 2493,2023-02-17
New Zealand VS England,New Zealand,1 run,Wellington,Test # 2494,2023-02-24
South Africa VS West Indies,South Africa,87 runs,Centurion,Test # 2495,2023-02-28
India VS Australia,Australia,9 wickets,Indore,Test # 2496,2023-03-01
South Africa VS West Indies,South Africa,284 runs,Johannesburg,Test # 2497,2023-03-08
New Zealand VS Sri Lanka,New Zealand,2 wickets,Christchurch,Test # 2498,2023-03-09
India VS Australia,drawn,-,Ahmedabad,Test # 2499,2023-03-09
New Zealand VS Sri Lanka,New Zealand,inns & 58 runs,Wellington,Test # 2500,2023-03-17
Bangladesh VS Ireland,Bangladesh,7 wickets,Mirpur,Test # 2501,2023-04-04
Sri Lanka VS Ireland,Sri Lanka,inns & 280 runs,Galle,Test # 2502,2023-04-16
Sri Lanka VS Ireland,Sri Lanka,inns & 10 runs,Galle,Test # 2503,2023-04-24
England VS Ireland,England,10 wickets,Lord's,Test # 2504,2023-06-01
Australia VS India,Australia,209 runs,The Oval,Test # 2505,2023-06-07
Bangladesh VS Afghanistan,Bangladesh,546 runs,Mirpur,Test # 2506,2023-06-14
England VS Australia,Australia,2 wickets,Birmingham,Test # 2507,2023-06-16
