name,team,playingRole,battingStyle,bowlingStyle
Tom Latham,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Devon Conway,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Kane Williamson,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Henry Nicholls,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Daryl Mitchell,New Zealand,Allrounder,Right hand Bat,Right hand Bat
Tom Blundell,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Michael Bracewell,New Zealand,Batting Allrounder,Right hand Bat,Right arm Offbreak
Ish Sodhi,New Zealand,Bowler,Other,Legbreak
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Matt Henry,New Zealand,Bowler,Right hand Bat,Right arm Fast medium
Ajaz Patel,New Zealand,Bowler,Left hand Bat,Slow Left arm Orthodox
Abdullah Shafique,Pakistan,Top order Batter,Right hand Bat,Right arm Offbreak
Imam-ul-Haq,Pakistan,Top order Batter,Other,Top order Batter
Shan Masood,Pakistan,Opening Batter,Other,Shaani
Babar Azam,Pakistan,Batter,Right hand Bat,Right arm Offbreak
Saud Shakeel,Pakistan,Middle order Batter,Left hand Bat,Left hand Bat
Sarfaraz Ahmed,Pakistan,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Agha Salman,Pakistan,Allrounder,Right hand Bat,Right arm Offbreak
Hasan Ali,Pakistan,Bowler,Right hand Bat,Right arm Medium fast
Naseem Shah,Pakistan,Bowler,Right hand Bat,Right arm Fast
Mir Hamza,Pakistan,Bowler,Left hand Bat,Left arm Medium
Abrar Ahmed,Pakistan,Bowler,Other,Legbreak Googly
Usman Khawaja,Australia,Top order Batter,Left hand Bat,Left hand Bat
David Warner,Australia,Opening Batter,Left hand Bat,Left hand Bat
Marnus Labuschagne,Australia,Batting Allrounder,Other,Legbreak
Steven Smith,Australia,Middle order Batter,Right hand Bat,Right hand Bat
Travis Head,Australia,Middle order Batter,Right hand Bat,Right arm Offbreak
Matt Renshaw,Australia,Batter,Right hand Bat,Right arm Offbreak
Dean Elgar,South Africa,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Sarel Erwee,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Temba Bavuma,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Khaya Zondo,South Africa,Batter,Right hand Bat,Right arm Offbreak
Kyle Verreynne,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Marco Jansen,South Africa,Bowling Allrounder,Left hand Bat,Left arm Medium fast
Simon Harmer,South Africa,Bowler,Right hand Bat,Right arm Offbreak
Keshav Maharaj,South Africa,Bowler,Left hand Bat,Slow Left arm Orthodox
Kagiso Rabada,South Africa,Bowler,Right hand Bat,Right arm Fast
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Josh Hazlewood,Australia,Bowler,Right hand Bat,Right arm Fast medium
Pat Cummins,Australia,Bowler,Right hand Bat,Right hand Bat
Nathan Lyon,Australia,Bowler,Right hand Bat,Right arm Offbreak
Ashton Agar,Australia,Bowler,Left hand Bat,Slow Left arm Orthodox
Kraigg Brathwaite,West Indies,Opening Batter,Right hand Bat,Right hand Bat
Tagenarine Chanderpaul,West Indies,Opening Batter,Other,Legbreak
Kyle Mayers,West Indies,Batting Allrounder,Right hand Bat,Right arm Medium
Raymon Reifer,West Indies,Allrounder,Left hand Bat,Left arm Medium fast
Jermaine Blackwood,West Indies,Middle order Batter,Right hand Bat,Right arm Offbreak
Roston Chase,West Indies,Allrounder,Right hand Bat,Right arm Offbreak
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Joshua Da Silva,West Indies,Wicketkeeper Batter,Right hand Bat,Right hand Bat
Innocent Kaia,Zimbabwe,Opening Batter,Other,Legbreak
Tanunurwa Makoni,Zimbabwe,Opening Batter,Right hand Bat,Right arm Medium
Chamu Chibhabha,Zimbabwe,Top order Batter,Right hand Bat,Right hand Bat
Craig Ervine,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
Gary Ballance,Zimbabwe,Middle order Batter,Left hand Bat,Left hand Bat
Tafadzwa Tsiga,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Medium
Brad Evans,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast
Wellington Masakadza,Zimbabwe,Bowler,Left hand Bat,Slow Left arm Orthodox
Brandon Mavuta,Zimbabwe,Allrounder,Other,Legbreak
Victor Nyauchi,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Richard Ngarava,Zimbabwe,Bowler,Left hand Bat,Left arm Fast medium
Kemar Roach,West Indies,Bowler,Right hand Bat,Right arm Fast medium
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Gudakesh Motie,West Indies,Bowler,Left hand Bat,Left hand Bat
